"","","lnL","AICc","AICw"
"bisse.null.results",1,-3825.95168869822,7657.92943602835,1.08139546098754e-63
"bisse.trans.results",1,-3820.68749974927,7649.41847775941,7.68950303475613e-62
"bisse.div.results",2,-3767.70127395678,7543.44602617443,7.89812042429458e-39
"bisse.full.results",2,-3751.53833588733,7513.14196013157,3.03881375981974e-32
"hisse.cid2.results",2,-3748.90770697872,7509.90691722542,1.55194819903126e-31
"hisse.cid4.results",4,-3705.74510929261,7427.6474238254,1.16833196018291e-13
"hisse.simple.results",4,-3682.30857105821,7380.7743473566,0.001761673766752
"hisse.full.results",4,-3673.96884336754,7368.1783869539,0.998238326233131
"",NA,NA,NA,NA
"bisse.null.results",1,-18489.4576135179,36984.9192525307,3.74405862570992e-244
"bisse.trans.results",1,-18484.193403312,36976.3935169074,2.66235278389178e-242
"bisse.div.results",2,-18212.5709871493,36433.1486845821,2.45121893777021e-124
"bisse.full.results",2,-18126.1653350129,36262.3407371399,3.02402619917763e-87
"hisse.cid2.results",2,-18130.7535113804,36273.5211190856,1.13154385152891e-89
"hisse.cid4.results",4,-17993.9317956876,36003.8877646167,4.03644050188594e-31
"hisse.simple.results",4,-17997.1031869181,36010.2305470778,1.6930931159127e-32
"hisse.full.results",4,-17921.9470210445,35863.9309858337,1
